type_key,category_key,parent_category,label,description,workflow_key,line_template,default_rate,estimated_mins,sort_order,active,notes,modal_type,requires_media,requires_lamination,default_media,default_lamination,default_transfer_tape,labor_per_sqft,labor_per_unit,qualifier_question,qualifier_options,default_media_if_yes,default_media_if_no
FLAT_EMB,EMBROIDERY,APPAREL,Flat Embroidery,Flat Embroidery,EMB,EMB_FLAT,,,1,TRUE,,EMBROIDERY,FALSE,FALSE,,,,,0.5,,,,
CAP_EMB,EMBROIDERY,APPAREL,Cap Embroidery,Cap Embroidery,EMB,EMB_CAP,,,2,TRUE,,EMBROIDERY,FALSE,FALSE,,,,,1,,,,
TRANSFER_BY_SIZE,DTF_TRANSFER,APPAREL,DTF Transfers By Size,Transfers by size,DTF_TRANSFERS,TRANSFER_BY_SIZE,,,1,TRUE,,APPAREL,FALSE,FALSE,,,,,0.25,,,,
GANG_SHEET,DTF_TRANSFER,APPAREL,DTF Gang Sheet,DTF Gang Sheet,DTF_TRANSFERS,GANG_SHEET,,,1,TRUE,,APPAREL,FALSE,FALSE,,,,1,,,,,
FULL_WRAP,VINYL_WRAP,AUTOMOTIVE,Full Wrap,Full vehicle wrap for business branding,FULL_WRAP_WORKFLOW,FULL_WRAP,,,1,TRUE,,WRAP,TRUE,TRUE,AVERY_1105_54,AVERY_DOL_1360Z_CAST_GLOSS_54,,10,,,,,
PARTIAL_WRAP,VINYL_WRAP,AUTOMOTIVE,Partial Wrap,Full vehicle wrap for business branding,PARTIAL_WRAP_WORKFLOW,PARTIAL_WRAP,,,2,TRUE,,WRAP,TRUE,TRUE,AVERY_1105_54,AVERY_DOL_1360Z_CAST_GLOSS_54,,10,,,,,
COLOR_CHANGE_PARTIAL,VINYL_WRAP,AUTOMOTIVE,Partial Color Change,Partial vehicle color change,COLOR_CHANGE_WORKFLOW,PARTIAL_COLOR_CHANGE,,480,3,TRUE,,WRAP,TRUE,FALSE,AVERY_SW900_60,,,10,,,,,
COLOR_CHANGE_FULL,VINYL_WRAP,AUTOMOTIVE,Full Color Change,Complete vehicle color change,COLOR_CHANGE_WORKFLOW,COLOR_CHANGE,,480,4,TRUE,,WRAP,TRUE,FALSE,AVERY_SW900_60,,,10,,,,,
CUT_VINYL,VINYL_GRAPHICS,AUTOMOTIVE,Single Colored Cut Vinyl,651 or equivalent cut vinyl,CUT_VINYL_WORKFLOW,CUT_VINYL,,,3,TRUE,,VINYL_GRAPHICS,TRUE,FALSE,ORACAL_651_30,,BRITELINE_TRANSFER_TAPE_30,10,,,,,
VAN_INSERTS,VINYL_GRAPHICS,AUTOMOTIVE,Commercial Van Inserts,Commercial Van Inserts,VAN_INSERTS_WORKFLOW,VAN_INSERTS,,,5,TRUE,,VINYL_GRAPHICS,TRUE,TRUE,ORACAL_3551_G_54,ORAGUARD_215_G_54,,2,,,,,
