MEDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Material,material_key,material_type,material_subtype,finish,dropdown_field,Roll Cost,Width (ft),Length (ft),Total Sqft,Cost per Linear ft,cost_sqft,mark_up,archived,material_thickness,category_material_keys,FULL_WRAP,PARTIAL_WRAP,COLOR_CHANGE_PARTIAL,COLOR_CHANGE_FULL,VAN_INSERTS,CAST_LET_GRAPH,CAST_GRAPH_BULK,CAL_LET_GRAPH,KISS_CUT,DIE_CUT,SHEET_LABELS,CORO_PLAST,MAX_METAL,FOAM_CORE,PPF,CHROME_DELETE,WINDOW_PERF,SIGNAGE,SIGN_BOARDS,WITH_FRAME,INSERT_ONLY,BANNERS,BANNER_STAND,LABELS,MAGNETS,WALL_GRAPHICS,VERTICAL_FLUTE,HORIZONTAL_FLUTE,FLAT_EMB,CAP_EMB,TRANSFER_BY_SIZE,GANG_SHEET
"Oracal 3951RA+ ProSlide 54""",ORACAL_3951RA_PLUS_PROSLIDE_54,MEDIA,CAST,,media,$891.00,4.5,150,675,$5.94,$1.32,$6.60,FALSE,,FULL_WRAP|PARTIAL_WRAP,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Avery 1105 54""",AVERY_1105_54,MEDIA,CAST,,media,$716.18,4.5,150,675,$4.77,$1.06,$5.31,FALSE,,FULL_WRAP|PARTIAL_WRAP|CAST_LET_GRAPH|CAST_GRAPH_BULK,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Avery 1106 54""",AVERY_1106_54,MEDIA,CAST,,media,$816.75,4.5,150,675,$5.45,$1.21,$6.05,FALSE,,FULL_WRAP|PARTIAL_WRAP|CAST_LET_GRAPH|CAST_GRAPH_BULK|WALL_GRAPHICS,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Avery SW900 60""",AVERY_SW900_60,MEDIA,CAST,,media,$676.40,5,75,375,$9.02,$1.80,$9.02,FALSE,,FULL_WRAP|PARTIAL_WRAP|COLOR_CHANGE_PARTIAL|COLOR_CHANGE_FULL|CHROME_DELETE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3M 2080 60""",3M_2080_60,MEDIA,CAST,,media,$742.00,5,75,375,$9.89,$1.98,$9.89,FALSE,,FULL_WRAP|PARTIAL_WRAP|COLOR_CHANGE_PARTIAL|COLOR_CHANGE_FULL,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Oracal 970RA,ORACAL_970RA_60,MEDIA,CAST,,media,$849.42,5,75,375,$11.33,$2.27,$11.33,FALSE,,FULL_WRAP|PARTIAL_WRAP|COLOR_CHANGE_PARTIAL|COLOR_CHANGE_FULL,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Avery 2105 54""",AVERY_2105_54,MEDIA,CAST,,media,$420.53,4.5,150,675,$2.80,$0.62,$3.12,FALSE,,CAST_LET_GRAPH|CAST_GRAPH_BULK,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Oracal 3551 Gloss 54""",ORACAL_3551_G_54,MEDIA,CALENDARED,,media,$429.01,4.5,150,675,$2.86,$0.64,$3.18,FALSE,,VAN_INSERTS|CAL_LET_GRAPH|KISS_CUT|DIE_CUT|SHEET_LABELS|CORO_PLAST|MAX_METAL|FOAM_CORE|SIGNAGE|SIGN_BOARDS|MAGNETS,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Oracal 3551 Clear 54""",ORACAL_3551_C_54,MEDIA,CALENDARED,,media,$387.00,4.5,150,675,$2.58,$0.57,$2.87,FALSE,,CAL_LET_GRAPH|KISS_CUT|DIE_CUT|SHEET_LABELS|SIGNAGE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Briteline 2203 30""",BRITELINE_2203_30,MEDIA,CALENDARED,,media,$92.79,2.5,150,375,$0.62,$0.25,$1.24,FALSE,,KISS_CUT|DIE_CUT|SHEET_LABELS,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
