package_key,category_key,type_key,vehicle_category,label,description,coverage_areas,sqft_estimate,base_price,rate_per_sqft,sort_order,active,notes,promo_price,promo_expires,website_visible
PPF_ESSENTIALS,PPF,,ALL,PPF Essentials,Partial front end protection,"Hood, Fenders, Mirrors",100,899,35.96,1,TRUE,Entry-level PPF package,,,
PPF_PLUS,PPF,,ALL,PPF Plus,Extended front end protection,"Hood, Full Fenders, Bumper, Mirrors, Headlights",45,1599,35.53,2,TRUE,Mid-tier PPF package,,,
PPF_FULL_FRONT,PPF,,ALL,Full Front End,Complete front end coverage,"Hood, Full Fenders, Full Bumper, Mirrors, Headlights, A-Pillars",65,2299,35.37,3,TRUE,Premium front protection,,,
PPF_TRACK,PPF,,ALL,Track Pack,High-impact area protection,"Rocker Panels, Rear Fenders, Door Cups, Door Edges",30,999,33.3,4,TRUE,For track/performance use,,,
PPF_FULL_VEHICLE,PPF,,ALL,Full Vehicle PPF,Complete vehicle coverage,All painted surfaces,200,5999,30,5,TRUE,Ultimate protection,,,
WRAP_SEDAN_FULL,FULL_WRAP,,SEDAN_COUPE,Sedan Full Wrap,Complete sedan coverage,All panels,200,3000,15,1,TRUE,Standard sedan wrap,,,
WRAP_SUV_SM_FULL,FULL_WRAP,,SMALL_SUV,Small SUV Full Wrap,Complete small SUV coverage,All panels,230,3400,14.78,2,TRUE,Small SUV/crossover,,,
WRAP_SUV_LG_FULL,FULL_WRAP,,LARGE_SUV,Large SUV Full Wrap,Complete large SUV coverage,All panels,315,4200,13.33,3,TRUE,Full-size SUV,,,
WRAP_PICKUP_FULL,FULL_WRAP,,PICKUP_STD,Pickup Full Wrap,Complete pickup coverage,All panels,285,3800,13.33,4,TRUE,Standard pickup,,,
WRAP_VAN_SM_FULL,FULL_WRAP,,CARGO_VAN_SM,Small Van Full Wrap,Complete small van coverage,All panels,315,4200,13.33,5,TRUE,"Transit Connect, ProMaster City",,,
WRAP_VAN_LG_FULL,FULL_WRAP,,CARGO_VAN_LG,Large Van Full Wrap,Complete cargo van coverage,All panels,475,6500,13.68,6,TRUE,"Sprinter, Transit, ProMaster",,,
WRAP_BOX_SM_FULL,FULL_WRAP,,BOX_TRUCK_SM,Box Truck Full Wrap,Complete box truck coverage,Cab + Box,525,7000,13.33,7,TRUE,10-16ft box truck,,,
WRAP_BOX_LG_FULL,FULL_WRAP,,BOX_TRUCK_LG,Large Box Truck Full,Complete large box coverage,Cab + Box,750,11000,14.67,8,TRUE,20-26ft box truck,,,
WRAP_PARTIAL_BASIC,PARTIAL_WRAP,,ALL,Partial Basic,Essential branding coverage,Doors + Rear,80,1200,15,1,TRUE,Entry-level branding,,,
WRAP_PARTIAL_PLUS,PARTIAL_WRAP,,ALL,Partial Plus,Enhanced branding coverage,"Hood, Doors, Tailgate/Rear",120,1800,15,2,TRUE,Popular partial option,,,
WRAP_PARTIAL_PREMIUM,PARTIAL_WRAP,,ALL,Partial Premium,Maximum partial coverage,"Hood, Doors, Fenders, Tailgate/Rear",160,2400,15,3,TRUE,Near-full coverage look,,,
