template_key,task_key,label,default_priority,sort_order,active
FULL_WRAP_WORKFLOW,VERIFY_MEASUREMENTS,Verify Measurements,MEDIUM,1,TRUE
FULL_WRAP_WORKFLOW,FINALIZE_DESIGN,Finalize Artwork/Design,HIGH,2,TRUE
FULL_WRAP_WORKFLOW,PRINT,Print Wrap,MEDIUM,3,TRUE
FULL_WRAP_WORKFLOW,OUTGAS,Outgas (overnight minimum),LOW,4,TRUE
FULL_WRAP_WORKFLOW,LAMINATE,Laminate,MEDIUM,5,TRUE
FULL_WRAP_WORKFLOW,CUTDOWN,Cutdown,MEDIUM,6,TRUE
FULL_WRAP_WORKFLOW,PREP_VEHICLE,Prep Vehicle,HIGH,7,TRUE
FULL_WRAP_WORKFLOW,INSTALL,Install Wrap,HIGH,8,TRUE
FULL_WRAP_WORKFLOW,QUALITY_CHECK,Quality Check,HIGH,9,TRUE
FULL_WRAP_WORKFLOW,CUSTOMER_PICKUP,Customer Pickup,MEDIUM,10,TRUE
PARTIAL_WRAP_WORKFLOW,VERIFY_MEASUREMENTS,Verify Measurements,MEDIUM,1,TRUE
PARTIAL_WRAP_WORKFLOW,FINALIZE_DESIGN,Finalize Artwork/Design,HIGH,2,TRUE
PARTIAL_WRAP_WORKFLOW,PRINT,Print Wrap,MEDIUM,3,TRUE
PARTIAL_WRAP_WORKFLOW,OUTGAS,Outgas,LOW,4,TRUE
PARTIAL_WRAP_WORKFLOW,LAMINATE,Laminate,MEDIUM,5,TRUE
PARTIAL_WRAP_WORKFLOW,PREP_VEHICLE,Prep Vehicle,MEDIUM,6,TRUE
PARTIAL_WRAP_WORKFLOW,INSTALL,Install Wrap,HIGH,7,TRUE
PARTIAL_WRAP_WORKFLOW,QUALITY_CHECK,Quality Check,HIGH,8,TRUE
PPF_WORKFLOW,PREP_VEHICLE,Prep Vehicle / Wash,HIGH,1,TRUE
PPF_WORKFLOW,CUT_FILM,Cut PPF Film,MEDIUM,2,TRUE
PPF_WORKFLOW,INSTALL_PPF,Install PPF,HIGH,3,TRUE
PPF_WORKFLOW,QUALITY_CHECK,Quality Check,HIGH,4,TRUE
PPF_WORKFLOW,CUSTOMER_PICKUP,Customer Pickup,MEDIUM,5,TRUE
COLOR_CHANGE_WORKFLOW,VERIFY_MEASUREMENTS,Verify Measurements,MEDIUM,1,TRUE
COLOR_CHANGE_WORKFLOW,ORDER_MATERIAL,Order Material,HIGH,2,TRUE
COLOR_CHANGE_WORKFLOW,DISASSEMBLE,Disassemble Vehicle,HIGH,3,TRUE
COLOR_CHANGE_WORKFLOW,PREP_VEHICLE,Prep Vehicle,HIGH,4,TRUE
COLOR_CHANGE_WORKFLOW,INSTALL,Install Wrap,HIGH,5,TRUE
COLOR_CHANGE_WORKFLOW,REASSEMBLE,Reassemble Vehicle,HIGH,6,TRUE
COLOR_CHANGE_WORKFLOW,QUALITY_CHECK,Quality Check,HIGH,7,TRUE
COLOR_CHANGE_WORKFLOW,CUSTOMER_PICKUP,Customer Pickup,MEDIUM,8,TRUE
STICKERS,FINALIZE_DESIGN,Finalize Artwork/Design,LOW,1,TRUE
EMBROIDERY,DIGITIZE_DESIGN,Digitize Design,LOW,1,TRUE
EMBROIDERY,CUTDOWN,Cutdown,MEDIUM,2,TRUE
LABELS_OH_WORKFLOW,FINALIZE_DESIGN,Finalize Design,MEDIUM,1,TRUE
LABELS_OH_WORKFLOW,ORDER_MEDIA,Order Media,MEDIUM,2,TRUE
LABELS_OH_WORKFLOW,PRINT,Print,MEDIUM,3,TRUE
LABELS_OH_WORKFLOW,PACKAGE,Package,MEDIUM,4,TRUE
LABELS_OD_WORKFLOW,FINALIZE_DESIGN,Finalize Design,MEDIUM,1,TRUE
LABELS_OD_WORKFLOW,ORDER_MEDIA,Order Media,MEDIUM,2,TRUE
LABELS_OD_WORKFLOW,PRINT,Print,MEDIUM,3,TRUE
LABELS_OD_WORKFLOW,PACKAGE,Package,MEDIUM,4,TRUE
CAST_LET_GRAPH_WORKFLOW,FINALIZE_DESIGN,Finalize Artwork/Design,HIGH,1,TRUE
CAST_LET_GRAPH_WORKFLOW,PRINT,Print,MEDIUM,2,TRUE
CAST_LET_GRAPH_WORKFLOW,OUTGAS,Outgas,LOW,3,TRUE
CAST_LET_GRAPH_WORKFLOW,LAMINATE,Laminate,MEDIUM,4,TRUE
CAST_LET_GRAPH_WORKFLOW,PLOTTER_CUT,Plotter Cut,MEDIUM,5,TRUE
CAST_LET_GRAPH_WORKFLOW,WEED,Weed,MEDIUM,6,TRUE
CAST_LET_GRAPH_WORKFLOW,TRANSFER_TAPE,Apply Transfer Tape,MEDIUM,7,TRUE
CAST_LET_GRAPH_WORKFLOW,PREP_VEHICLE,Prep Vehicle,HIGH,8,TRUE
CAST_LET_GRAPH_WORKFLOW,INSTALL,Install,HIGH,9,TRUE
CAST_LET_GRAPH_WORKFLOW,QUALITY_CHECK,Quality Check,HIGH,10,TRUE
CAL_LET_GRAPH_WORKFLOW,FINALIZE_DESIGN,Finalize Artwork/Design,HIGH,1,TRUE
CAL_LET_GRAPH_WORKFLOW,PRINT,Print,MEDIUM,2,TRUE
CAL_LET_GRAPH_WORKFLOW,OUTGAS,Outgas,LOW,3,TRUE
